項目 (Analysis),統計量 (Z/T Stat),P值 (P-value),信賴區間下限 (CI Low),信賴區間上限 (CI Up)
飲酒比例 (Alcohol),23.008816552190474,3.80413037734231e-117,0.4430666720652639,0.46039847909110204
平均體重 (Weight),3.7007348028273093,0.0002158592235203563,68.25876587253137,68.84157863826329
